actual_mm,average_measured_mm,error_mm
4.000000,12.050000,-8.050000
54.000000,53.070000,0.930000
68.000000,71.930000,-3.930000
80.000000,88.660000,-8.660000
95.000000,96.600000,-1.600000
106.000000,110.690000,-4.690000
120.000000,117.980000,2.020000
127.000000,125.980000,1.020000
125.000000,125.290000,-0.290000
136.000000,136.350000,-0.350000
148.000000,148.630000,-0.630000
