23164, -0.02, 0.00, 125, 1420, -16477.00, 1719.00, 2572.00, -0.11, 0.08, 0.25, 2094.00, 1668.00, 4943.00, 15734.00, -4373.00, 5465.00, -7.83, 7.61, 9.37, -3750.00, 312.00, -2049.00
23204, 0.05, 0.03, 125, 1420, -16469.00, 1697.00, 2577.00, -0.14, 0.07, 0.24, 2050.00, 1678.00, 4937.00, 16481.00, -4040.00, 6105.00, -18.53, 16.24, 23.07, -3736.00, 364.00, -2046.00
23245, -0.01, 0.01, 120, 1420, -16455.00, 1717.00, 2621.00, -0.14, 0.08, 0.23, 2096.00, 1668.00, 4958.00, 15560.00, -4619.00, 5504.00, -26.95, 27.67, 31.54, -3680.00, 498.00, -2158.00
23278, 0.03, 0.02, 120, 768, -16446.00, 1694.00, 2594.00, -0.13, 0.09, 0.25, 2092.00, 1662.00, 4935.00, 14464.00, -5557.00, 6465.00, -37.32, 33.96, 39.28, -3650.00, 638.00, -2195.00
23317, 0.03, 0.05, 120, 768, -16459.00, 1718.00, 2583.00, -0.16, 0.07, 0.25, 2066.00, 1624.00, 4943.00, 13397.00, -6294.00, 6794.00, -40.62, 35.24, 33.04, -3572.00, 776.00, -2294.00
23354, 0.01, 0.07, 122, 2204, -16474.00, 1721.00, 2592.00, -0.16, 0.11, 0.25, 2092.00, 1680.00, 4931.00, 13563.00, -6663.00, 6695.00, -40.52, 34.52, 33.53, -3520.00, 914.00, -2316.00
23391, 0.01, 0.10, 122, 2204, -16472.00, 1714.00, 2576.00, -0.18, 0.09, 0.21, 2068.00, 1674.00, 4960.00, 12426.00, -7700.00, 6303.00, -39.81, 33.13, 21.98, -3408.00, 1054.00, -2376.00
23432, -0.02, -0.02, 120, 2204, -16472.00, 1729.00, 2597.00, -0.08, 0.08, 0.26, 2064.00, 1720.00, 4924.00, 12429.00, -7760.00, 7180.00, -41.92, 27.35, 12.58, -3380.00, 1238.00, -2377.00
23465, 0.04, 0.15, 120, 1348, -16479.00, 1707.00, 2578.00, -0.08, 0.08, 0.25, 2054.00, 1692.00, 4919.00, 12358.00, -8895.00, 6632.00, -41.27, 26.63, 6.89, -3314.00, 1290.00, -2397.00
23503, 0.06, -0.03, 120, 1348, -16454.00, 1736.00, 2575.00, -0.12, 0.08, 0.29, 2026.00, 1714.00, 4951.00, 12684.00, -8437.00, 6636.00, -38.46, 24.39, 10.37, -3260.00, 1410.00, -2486.00
23540, -0.01, 0.02, 121, 2536, -16454.00, 1692.00, 2582.00, -0.11, 0.08, 0.25, 2062.00, 1702.00, 4936.00, 12119.00, -9140.00, 6570.00, -35.92, 19.07, 7.86, -3282.00, 1478.00, -2431.00
23579, 0.01, 0.02, 121, 2536, -16459.00, 1701.00, 2587.00, -0.14, 0.09, 0.21, 2096.00, 1668.00, 4929.00, 12506.00, -9785.00, 6676.00, -31.41, 19.46, 7.11, -3220.00, 1584.00, -2493.00
23621, -0.03, -0.00, 122, 2536, -16457.00, 1695.00, 2625.00, -0.15, 0.11, 0.23, 2060.00, 1680.00, 4928.00, 11666.00, -11295.00, 6509.00, -15.73, 16.36, 28.98, -3174.00, 1654.00, -2466.00
23655, -0.04, 0.06, 122, 1396, -16488.00, 1685.00, 2582.00, -0.14, 0.11, 0.22, 2032.00, 1682.00, 4898.00, 11720.00, -10987.00, 6733.00, -2.58, 15.76, 0.00, -3162.00, 1718.00, -2497.00
23694, 0.01, 0.01, 122, 1396, -16453.00, 1720.00, 2601.00, -0.11, 0.03, 0.26, 2018.00, 1680.00, 4921.00, 11635.00, -10577.00, 6810.00, 12.49, 11.27, 4.76, -3080.00, 1666.00, -2522.00
23730, -0.00, -0.04, 123, 1448, -16467.00, 1677.00, 2574.00, -0.17, 0.06, 0.20, 2070.00, 1714.00, 4978.00, 11682.00, -9942.00, 7037.00, 22.06, 10.50, 5.68, -3016.00, 1598.00, -2618.00
23770, 0.09, -0.04, 123, 1448, -16458.00, 1730.00, 2615.00, -0.14, 0.06, 0.21, 2054.00, 1684.00, 4947.00, 11225.00, -9545.00, 6472.00, 30.91, 4.20, -1.24, -3042.00, 1562.00, -2617.00
23813, 0.06, 0.01, 120, 2234, -16465.00, 1705.00, 2639.00, -0.17, 0.11, 0.23, 2032.00, 1706.00, 4900.00, 12329.00, -8451.00, 6745.00, 32.89, -2.10, 4.51, -3066.00, 1524.00, -2665.00
23849, -0.00, 0.05, 120, 2234, -16472.00, 1743.00, 2609.00, -0.21, 0.09, 0.22, 2024.00, 1714.00, 4937.00, 12274.00, -8261.00, 7323.00, 27.51, 7.07, 15.30, -3090.00, 1466.00, -2694.00
23886, 0.06, 0.02, 120, 2234, -16452.00, 1721.00, 2638.00, -0.16, 0.08, 0.22, 2004.00, 1702.00, 4920.00, 12406.00, -7998.00, 7970.00, 21.39, 5.16, 22.25, -2990.00, 1466.00, -2665.00
23923, 0.05, 0.01, 122, 2032, -16488.00, 1734.00, 2597.00, -0.11, 0.07, 0.25, 1990.00, 1684.00, 4913.00, 12055.00, -8265.00, 8327.00, 13.23, 9.26, 19.51, -2978.00, 1404.00, -2758.00
23961, 0.00, 0.09, 122, 2032, -16478.00, 1719.00, 2591.00, -0.14, 0.05, 0.25, 2084.00, 1700.00, 4891.00, 11884.00, -7938.00, 8439.00, 7.79, 16.69, 12.35, -2910.00, 1496.00, -2781.00
23994, -0.07, -0.03, 122, 2032, -16445.00, 1720.00, 2589.00, -0.14, 0.07, 0.26, 1980.00, 1674.00, 4922.00, 11359.00, -8389.00, 8924.00, 3.21, 12.85, 14.25, -2932.00, 1482.00, -2818.00
24028, 0.05, 0.16, 122, 2546, -16477.00, 1701.00, 2606.00, -0.16, 0.07, 0.27, 2052.00, 1694.00, 4954.00, 11066.00, -8388.00, 8849.00, -0.46, 13.76, 8.57, -2902.00, 1522.00, -2838.00
24067, 0.05, 0.00, 122, 2546, -16446.00, 1695.00, 2590.00, -0.13, 0.08, 0.25, 2092.00, 1702.00, 4929.00, 10753.00, -8588.00, 8457.00, -3.06, 12.88, 8.02, -2862.00, 1564.00, -2833.00
24103, -0.06, -0.05, 122, 2544, -16456.00, 1726.00, 2622.00, -0.14, 0.07, 0.25, 2078.00, 1662.00, 4915.00, 10592.00, -8958.00, 8162.00, -5.77, 9.03, 2.52, -2810.00, 1590.00, -2895.00
24141, 0.06, 0.04, 122, 2544, -16484.00, 1711.00, 2559.00, -0.11, 0.07, 0.26, 2008.00, 1706.00, 4939.00, 10772.00, -8848.00, 8636.00, -5.91, 7.83, 3.53, -2796.00, 1530.00, -2827.00
24187, 0.01, -0.09, 120, 1409, -16480.00, 1706.00, 2546.00, -0.12, 0.10, 0.20, 2044.00, 1732.00, 4934.00, 10334.00, -9724.00, 9309.00, -6.26, 4.03, -0.25, -2776.00, 1608.00, -2830.00
24224, -0.01, 0.00, 120, 1409, -16456.00, 1695.00, 2584.00, -0.18, 0.10, 0.26, 2044.00, 1726.00, 4928.00, 10712.00, -9336.00, 9070.00, -2.40, -0.93, -7.79, -2826.00, 1612.00, -2911.00
24263, 0.03, -0.01, 120, 1409, -16451.00, 1722.00, 2617.00, -0.14, 0.07, 0.24, 2058.00, 1688.00, 4930.00, 10632.00, -9400.00, 9246.00, -2.56, -1.18, -6.52, -2802.00, 1560.00, -2888.00
24300, -0.01, -0.00, 124, 1122, -16481.00, 1726.00, 2581.00, -0.14, 0.14, 0.25, 2112.00, 1686.00, 4934.00, 10566.00, -9549.00, 8827.00, -1.65, -4.79, -8.46, -2838.00, 1568.00, -2842.00
